text,label_meaning,prediction
而微笑的背后是这个城市的力量，城市繁荣了、兴旺了，才会绽放出更加灿烂的笑容。,3,3
在今天进行的男子团体赛中日比赛中，中国队经过艰苦的努力，才以五比四险胜对手，夺得亚军。,2,3
不一会，苗苗又来报告，说家里又来了两家亲戚，我才不得不问了。,2,2
为此，我们又特意到信用社找出4月份的转账汇款单，当面与他们核对汇、收款日期，他们这才哑口无言。,2,2
离去时，总不忘熄灭余火；还要取来山泉水装满土罐，以供后来人在此乘凉时饮用，然后才动身上路。,2,3
人均GDP达到1万美元，出境旅游才会大发展。,3,3
中曾根表示，日本要等美国对这一计划作出详细解释才决定是否参加。,2,3
美国本来以为可以用原子弹来吓倒苏联和全世界人民，但看到这个法宝不灵了，才又提出什么“氢原子弹”来吓人。,3,2
经荆州区教委再三邀请，他才和记者见了面。,2,2
希拉克在访问中还多次提到，建立一个多极的世界，才会实现世界的新秩序。,3,3
党组织把这个事情报告了基尔吉兹共产党中央委员会，该部监察机关这才大大的巩固起来。,2,3
他们也是在不断的创作实践中，逐步提高了创作水平，才写出优秀作品来的。,2,3
有了自主的软件产业，才可能有自主的知识经济。,3,3
什么时候学生感到考的是能力了，光做题没用了，那些五花八门的教辅材料，特别是盗版的教辅材料才会彻底从市场上消失。,2,3
今天看了《雷锋》才使我认识到这种想法是错误的。,2,3
在“人痘接种法”的启发下，英国医生琴纳才发明了牛痘。,2,2
我们自己把问题解决了、把基础制度建设好了，外资才会进来并发挥积极作用。,3,3
学生接触到了新的知识、先进的研究方法和手段，才可能成为优秀的人材。,3,3
当保姆和教员们给他们耐心地解释，安慰了他们以后，他们才会恢复安静。,3,2
听完这番介绍，我们才仔细观察了一下这个厨房。,2,2
商家与消费者之间是一种互动关系，双方都坚持诚实守信，整个社会才会出现诚实守信的良好氛围。,3,3
我们在这里住的时间长，彼此熟悉之后，干部、社员消除了心中的余悸，才亮了底——不要忌讳一个“钱”字。,2,3
他们的思想是受到各方面的影响才产生的。,3,3
2013年寒假，一学生因为毕业论文前期准备不认真，李保国就要求他留在学校，等他写完论文才回家。,2,2
计划科长把文件连续看了几遍，才交给计划组组长。,2,2
庄玉庭并不像以往那样匹马领先，而是大器晚成，最后连胜三盘后加赛才夺得这次参赛资格。,2,2
市里的重大决策、计划、合同，都要向法律专家咨询，才付诸执行。,2,3
但是后来，英国组织起对抗“共同市场”的“小自由贸易区”，并且利用了德国和西柏林问题挟制西德，才多少改善了一些英国的不利处境。,2,3
根据人民革命斗争的主要潮流去确定世界史的中心，才合乎阶级、阶级斗争的观点，合乎历史唯物主义观点。,3,4
男主人敬过一轮酒之后，双手托起四五个馓子递到我面前，我双手接过，然后才和他对起话来：“请问，您怎么称呼？,2,2
在确凿的证据面前，他才交待了自己的罪行。,2,3
天不亮就下地干活，天黑了才回来。,2,2
正是有了这样的实力，哈尔滨人才敢于向申办冬奥会发出挑战！,3,3
顾妓女说：“我是浙江女中毕业生，父母皆靠我维持生活，我求职不得，又不忍父母饿死，才不顾羞耻，出卖身体。,3,3
低价团”之所以屡禁难止，也与部分游客一味追求低价的消费心态有关，正所谓有需求才会有市场。,3,3
由于进站时人多拥挤，上车时，那位妇女才发现大孩子没上来，十分着急。,2,2
一切工程，在动工前必须有具体工程计划并须经一定上级审核批准，才可以施工，否则不宜开工。,3,3
房子是十六世纪传下来的，本已老旧不堪，州政府贷给住房建设促进款，才又重新改建。,2,2
他跑到阵地上，庄严地向雷达敬了个军礼，才依依不舍地走下雪山。,2,2
党员之间相互尊重、关心支持、坦诚相待，才会发自肺腑、真心诚意地互称同志。,3,3
那天在哨位上，我的胃穿孔了，腹部剧烈疼痛，是国旗激励我坚持站完岗，然后正步走到军营才倒在床上。,3,2
幸喜来了一个海南战士，才告诉他我问的是香蕉。,2,3
我总认为人要努力奋斗，持之以恒，才会取得成功，演戏是这样，做别的事也是如此。,3,3
这就再次证明了，有了集体的自由，才会有个人的自由，大集体是小自由的保证。,3,3
谈福又观察了几天，肯定没有问题，便留下足够的药才回到部队。,2,2
尝到了理论的甜头，他才又学了为人民服务，有了缺点就不怕批评以及其他的观点。,2,3
这些外交人员是在迫不得已的情况下，才倒向金边叛逆政府的。,3,3
民族的生存和荣誉，靠自己民族的头颅和鲜血才可保持。,3,3
其余的货物经过客户再三要求，他们才答应天黑就卸车。,2,3
把自己变成一个草原﹐养好自己草原的芳草﹐做好自己﹐美好才会来临。,3,3
有顷，他接着说：“张学良将军是出于统一的愿望才去西安的。,3,3
严复通过《天演论》向全国人民大声疾呼，中华民族要奋发图强，才可以免遭亡国灭种的厄运。,3,3
后来，想不到却受到外国客人的欢迎，这才坚持办下去的。,3,2
一有问题就去解决，才不至于使问题成堆，严重影响农业生产合作社的质量。,3,3
坚定拥护共产党的决议，这个来之不易的江山才不会在我们手中扭曲变形、改变颜色。,3,3
排除技术上的不完善因素，理想的印章系统得到授权才可制作，任何人不可仿造。,3,3
我矿采取了紧急措施，才使井下工作的一百多名职工脱险。,3,3
中华大地上有了我们这样的千万条江河，才会有黄河的澎湃、长江的奔腾！,3,3
清楚了这一点，才会明白真正的政绩都是以人民为中心的。,3,3
换言之，你所开发的产品和其市场还没有足够的利润和控制力，微软才会放心地让你生存下去，否则只有倒闭或者被收购两种结局。,3,3
