text,label_meaning,prediction
为了工作，他在老父亲临终前才回去看一眼，办完事后，又连夜赶回县城。,2,2
出席祝贺会的有十名明星队队员，苏联名将契布金娜、卡恰洛娃因故24日才到达东京汇合。,2,2
正是这种爱，使他们牢牢地扎根在肥沃的黑土地上，吮吸大地的滋养，接受人民的哺育，不负生活的厚赐，才会出现如此丰硕的戏剧之果。,3,3
但是，庆贺之后要认真总结经验，要看到我们的弱点，要向印尼、丹麦等优秀队员学习，学习人家的长处，戒骄戒躁，才会不断前进。,3,3
只有这样，法国民族民主力量的团结才会成为不可遏制的现实而马上在议会方面表现出来。,3,3
据研究只有在人脑中它们才大量增加，约占全部皮质细胞总数的一半。,3,3
这样，“一二·九”运动才发动起来和坚持下去，并直接汇入全国人民的抗战洪流。,3,3
这些劳动英雄都是经过好多次的民主评定才决定了的。,2,3
然而，正是因为一些人经受不住金钱美色的诱惑，放弃职守，甚至支持、包庇、组织、参与走私，才使得厦门关区大门洞开，走私链条环环相扣，犯罪分子图谋得逞。,3,3
我们党也正是靠这一条，才从千难万险之中夺取了革命的胜利。,3,3
对我国处于历史转折和重大改革时期的各项政策，只有在三中全会重新确立的思想路线的指导下，才可能使人们打破旧思想的束缚，跟上变化了的新形势。,3,3
国务院紧急通知一年后，即1993年11月15日，郑州市政府才发文明确规定收回下放给各县（市）的土地审批权，并要求新郑烟厂征地一事须到郑州市补办有关手续。,2,2
一九六○年，在万山战斗前，盘踞在珠江口几个小岛上的敌人一直不走，又不投降，等到我们打上去了，用枪杆子一扫，他们才叫：“啊哟！,2,2
伊朗开始拒绝同伊拉克举行直接会谈，后来立场有所松动，说只有在停火实现之后，它才同意同伊拉克进行直接对话。,3,2
所以很多留学生在大三时没有投简历的意识，基本上都是等到大四毕业了才去求职。,2,3
主人把她带到我们身边，我们才发现，她是《女奴》女主角依佐拉！,2,2
河水一分钟一分钟地往上涨，费了好大的力气，他才从沟里爬上来。,2,2
只有本体确定了，镜像才可能美丽。,3,3
我县自去年九月中旬召开第五届各界人民代表会议之后，到今年八月九日才召开第六届各界人民代表会议。,3,2
4月10日上午，长江乡板林小学有一间教室突然倒塌，幸亏当时已经下课，师生才免于难。,3,2
双方在这一条件下，曾企图全面结束“日韩会谈”，但由于南朝鲜人民去年三月和六月两次掀起大规模的斗争风暴，才使会谈被迫中断。,3,2
她娘俩好得像母女似的，邻居们都非常羡慕她们，但刘海珍家是在去年才好起来的。,2,2
特别重大的改革或技术问题才交厂的领导方面研究解决。,3,2
微信上类似的游戏或健康信息是大家转发的热点，不少难辨真假，建议大家不但要多听多看，还要慎思、明辨，只有用科学的方法进行保健才可能给自己和家人带来健康。,3,3
今年麦收前，许多镇干部早晨5时下村，帮助落实蔬菜种植计划，晚上6时又下村办技术讲座，直到夜里11时才回镇休息。,2,3
他怎么也想不到，约翰逊正是由于有了他这样的强大对手，才创造出伟大的成绩。,3,3
明确了行业方向后，对于究竟做一个什么样的网站，高利民是在看了8700个站点之后才做出的决定。,2,2
只有那些真正为时代所喝彩，让人民所信服的东西，我们才会从肺腑中发出心声，从而形成真正的掌声。,3,3
正是从这一点出发，我们才始终把提高职工的思想政治觉悟，看成是提高职工素质的首要任务。,3,3
值得注意的是，这个重大变化是在近30年来才出现的，反映着美国迅速向南发展的趋势。,2,2
正是因为有了它，宇宙航行才变为可能，因为它本身携带燃料和助燃的氧化剂，并且推力也很大。,3,3
等等，这些，如果就现象谈现象，想来是没有多大说服力的，只有把它们放到毛泽东和他从事的事业的关系中，才可能有比较准确的回答。,3,3
马克思主义者是最尊重客观实际的辩证唯物主义者，只有林彪、“四人帮”之类的假马克思主义的骗子，才专靠吹牛撒谎过日子。,3,3
只有这样，战士才会真正团结在干部周围，形成巨大的凝聚力和战斗力。,3,3
做人知不足，才会不断完善自我、修正自我，使自己逐渐成为一个高尚、美好的人，一个脱离了低级趣味、少犯错误的人，一个有益于他人、有益于社会的人。,3,3
